Unigrams
               N-Gram  Frequency
0        transmission       7973
1            sarscov2       5224
2             covid19       4805
3                case       3457
4           infection       3396
5               model       3283
6                 use       2729
7               virus       2287
8             contact       2088
9                risk       1957
10            disease       1929
11               data       1914
12               rate       1814
13             number       1805
14               high       1580
15            control       1528
16             spread       1492
17               test       1483
18           pandemic       1471
19           estimate       1417
20            patient       1396
21           outbreak       1392
22            measure       1361
23         individual       1275
24              viral       1260
25             health       1191
26               show       1150
27           increase       1147
28         population       1129
29               time       1100
30            include       1094
31           epidemic       1051
32          different        999
33           analysis        991
34             reduce        970
35                day        945
36        respiratory        938
37            country        938
38              human        898
39              among        895
40               find        893
41            dynamic        887
42             public        884
43            provide        874
44                low        868
45             effect        866
46          household        862
47       intervention        860
48         infectious        853
49           identify        852
50            variant        818
51                one        817
52             school        816
53             factor        809
54             social        803
55                two        802
56                air        790
57       asymptomatic        790
58           strategy        780
59            droplet        777
60             impact        770
61            suggest        763
62           positive        756
63        coronavirus        740
64          effective        738
65               mask        736
66             within        736
67              first        723
68          community        716
69             sample        712
70          potential        711
71           evidence        707
72            aerosol        694
73               base        676
74              level        667
75                new        667
76             infect        648
77            compare        647
78           infected        625
79             system        622
80            symptom        618
81            develop        616
82            setting        614
83              early        599
84          associate        595
85              cause        593
86             period        588
87              large        574
88             people        564
89               need        563
90           airborne        559
91                 ci        557
92             change        554
93             region        552
94          parameter        551
95           consider        547
96           exposure        546
97            present        533
98              china        529
99              state        527
100         secondary        525
101               age        524
102         important        523
103      reproduction        521
104       temperature        514
105              role        507
106             range        502
107           vaccine        498
108             novel        497
109             child        497
110             occur        493
111            remain        485
112             three        484
113            across        483
114             group        479
115          clinical        478
116            assess        475
117          hospital        473
118              year        472
119           protein        471
120             index        470
121            policy        463
122        distancing        463
123        quarantine        462
124       significant        460
125           cluster        459
126             death        456
127       vaccination        453
128            detect        452
129       information        451
130          transmit        448
131   epidemiological        447
132            global        446
133             event        442
134       investigate        437
135          relative        437
136          evaluate        434
137           finding        431
138          approach        429
139  transmissibility        428
140          indicate        427
141              many        421
142         reduction        421
143         condition        420
144           surface        414
145       ventilation        414
146           confirm        413
147               rna        411
148          sequence        411
149             close        409
150              cell        409
151        healthcare        408
152          lockdown        407
153           prevent        403
154               aim        403
155             route        396
156              work        395
157        understand        392
158          response        392
159          particle        391
160       symptomatic        391
161              city        390
162           observe        390
163       demonstrate        390
164            follow        388
165            animal        386
166         incidence        386
167              sars        386
168              host        383
169          possible        382
170       environment        382
171           network        379
172             total        377
173           perform        377
174               via        375
175              care        375
176          antibody        374
177           several        371
178             value        371
179            person        369
180         isolation        368
181        simulation        367
182               per        365
183         determine        364
184             local        360
185          pathogen        360
186            source        360
187           current        359
188              lead        358
189           require        357
190     effectiveness        357
191            likely        355
192              size        353
193             world        351
194          scenario        348
195           pattern        347
196            worker        345
197             daily        345
198              area        341
199      mathematical        338
200         available        335
201              take        333
202             order        333
203          mutation        333
204           propose        331
205              wave        329
206          mobility        328
207        mitigation        328
208           predict        327
209            travel        326
210         implement        325
211             staff        324
212           primary        323
213           collect        321
214       probability        321
215             trace        320
216     significantly        319
217               key        319
218              give        319
219          describe        318
220             march        318
221              type        317
222             wuhan        316
223          interval        313
224            genome        312
225      surveillance        312
226           conduct        310
227            become        308
228          decrease        308
229              mean        305
230           analyze        305
231            indoor        304
232         highlight        303
233       susceptible        301
234              face        300
235          distance        300
236             onset        299
237              tgev        298
238              make        297
239               set        296
240            strain        296
241           average        295
242          multiple        294
243           without        293
244          activity        291
245            affect        290
246            second        290
247         detection        290
248        proportion        289
249           examine        288
250             spike        288
251           concern        287
252           support        287
253            highly        287
254     environmental        285
255             small        285
256              less        284
257           various        283
258             space        283
259            attack        283
260             basic        282
261              load        281
262             since        281
263             major        280
264        prevalence        278
265            severe        277
266    characteristic        277
267         influenza        272
268               far        272
269           overall        272
270            emerge        271
271              week        270
272             limit        269
273            future        267
274            recent        265
275           similar        264
276          humidity        262
277             adult        262
278           merscov        262
279           student        261
280       interaction        261
281             apply        261
282          negative        261
283          critical        261
284     concentration        261
285        conclusion        258
286           account        258
287        difference        257
288        importance        257
289        prevention        257
290              know        251
291       restriction        249
292           initial        249
293             great        246
294              swab        243
295              vary        241
296            reveal        241
297         mechanism        240
298             rapid        240
299              four        240

Bigrams
                             N-Gram  Frequency
0                     public health        537
1                  covid19 pandemic        527
2             transmission sarscov2        522
3               reproduction number        492
4             sarscov2 transmission        476
5                sarscov2 infection        409
6              covid19 transmission        379
7                 social distancing        338
8              transmission dynamic        325
9                      covid19 case        319
10               infectious disease        306
11            airborne transmission        306
12                transmission rate        281
13                sarscov2 sarscov2        278
14             transmission covid19        273
15                  control measure        271
16                      attack rate        268
17             disease transmission        260
18                       index case        256
19                transmission risk        250
20                    close contact        249
21                       viral load        244
22               mathematical model        236
23                    contact trace        199
24                novel coronavirus        194
25           community transmission        191
26   nonpharmaceutical intervention        179
27               virus transmission        173
28                   spread covid19        171
29               basic reproduction        171
30                   infection risk        170
31              infected individual        161
32                    symptom onset        160
33                        model use        156
34                   sarscov2 virus        152
35              reproductive number        152
36                    test positive        151
37            vertical transmission        150
38                healthcare worker        149
39                risk transmission        147
40                    spike protein        147
41               transmission model        145
42                        face mask        142
43               transmission route        138
44                covid19 infection        136
45                        high risk        134
46                   secondary case        134
47              reduce transmission        133
48                     sarscov2 rna        132
49                  covid19 covid19        131
50                  contact tracing        130
51                      risk factor        127
52                 secondary attack        126
53                infection control        126
54                 covid19 outbreak        125
55                   confirmed case        125
56                    delta variant        125
57                  spread sarscov2        124
58                relative humidity        123
59                     united state        122
60              respiratory droplet        121
61                respiratory tract        120
62                household contact        119
63                 covid19 epidemic        117
